date,race_id,race_name,is_g1,horse_num_i,horse_num_j,horse_id_i,horse_id_j,horse_name_i,horse_name_j,odds_i,odds_j,p_model,p_model_raw,p_market,ev,est_quinella_odds,race_axis_reject,p_axis1_safe,p_axis2_safe,passed_longshot,passed_est_odds,passed_p_model,passed_ev,passed_gatekeeper,would_buy
2026-09-05,202606040103,2歳未勝利,False,8,5,2024106974,2024107403,ワンコール,ハイビスカス,21.4,6.9,0.0447,0.0447,0.0092,4.021,90.0,True,0.15687629578438148,0.45402745402745404,True,True,True,True,False,False
2026-09-05,202606040103,2歳未勝利,False,8,9,2024106974,2024103015,ワンコール,ユイノキャッツアイ,21.4,2.2,0.0391,0.0391,0.0345,0.936,23.9,True,0.15687629578438148,0.45402745402745404,True,True,True,False,False,False
2026-09-05,202606040103,2歳未勝利,False,5,9,2024107403,2024103015,ハイビスカス,ユイノキャッツアイ,6.9,2.2,0.0311,0.0311,0.1106,0.232,7.5,True,0.15687629578438148,0.45402745402745404,True,True,True,False,True,False
2026-09-05,202606040103,2歳未勝利,False,8,10,2024106974,2024106782,ワンコール,サンプラザマツモト,21.4,16.3,0.0379,0.0379,0.0037,8.364,220.6,True,0.15687629578438148,0.45402745402745404,True,False,True,True,False,False
2026-09-05,202606040103,2歳未勝利,False,5,10,2024107403,2024106782,ハイビスカス,サンプラザマツモト,6.9,16.3,0.0302,0.0302,0.0121,2.057,68.2,True,0.15687629578438148,0.45402745402745404,True,True,True,True,True,False
2026-09-05,202606040103,2歳未勝利,False,8,4,2024106974,2024102834,ワンコール,マイセイバー,21.4,7.5,0.0355,0.0355,0.0084,3.495,98.4,True,0.15687629578438148,0.45402745402745404,True,True,True,True,False,False
2026-09-05,202606040103,2歳未勝利,False,5,4,2024107403,2024102834,ハイビスカス,マイセイバー,6.9,7.5,0.0283,0.0283,0.0271,0.86,30.4,True,0.15687629578438148,0.45402745402745404,True,True,True,False,True,False
2026-09-05,202606040103,2歳未勝利,False,8,6,2024106974,2024103008,ワンコール,チョトツモウシン,21.4,47.3,0.0333,0.0333,0.0013,21.659,650.8,True,0.15687629578438148,0.45402745402745404,False,False,True,True,False,False
2026-09-05,202606040103,2歳未勝利,False,5,6,2024107403,2024103008,ハイビスカス,チョトツモウシン,6.9,47.3,0.0265,0.0265,0.0041,5.322,200.9,True,0.15687629578438148,0.45402745402745404,False,False,True,True,True,False
2026-09-05,202606040103,2歳未勝利,False,8,7,2024106974,2024102786,ワンコール,ニシノアナベル,21.4,4.2,0.0322,0.0322,0.0158,1.682,52.3,True,0.15687629578438148,0.45402745402745404,True,True,True,True,False,False
2026-09-05,202606040103,2歳未勝利,False,5,7,2024107403,2024102786,ハイビスカス,ニシノアナベル,6.9,4.2,0.0256,0.0256,0.0509,0.415,16.2,True,0.15687629578438148,0.45402745402745404,True,True,True,False,True,False
2026-09-05,202606040107,3歳未勝利,False,5,15,2023107327,2023105322,ガードオブオナー,ホウオウファミリー,4.7,4.9,0.2121,0.2121,0.0658,2.661,12.5,False,0.4723314975085235,0.5175186674325102,True,True,True,True,True,True
2026-09-05,202606040107,3歳未勝利,False,5,10,2023107327,2023106406,ガードオブオナー,マイネルオランチア,4.7,10.1,0.12,0.12,0.0305,3.248,27.1,False,0.4723314975085235,0.5175186674325102,True,True,True,True,True,True
