date,race_id,race_name,is_g1,horse_num_i,horse_num_j,horse_id_i,horse_id_j,horse_name_i,horse_name_j,odds_i,odds_j,p_model,p_model_raw,p_market,ev,est_quinella_odds,race_axis_reject,p_axis1_safe,p_axis2_safe,passed_longshot,passed_est_odds,passed_p_model,passed_ev,passed_gatekeeper,would_buy
2026-06-21,202605030602,3歳未勝利,False,8,2,2023107364,2023110093,アクアマーズ,ダノンマスタング,4.9,2.2,0.0375,0.1863,0.159,0.195,5.2,False,,,True,True,False,False,True,False
2026-06-21,202605030602,3歳未勝利,False,8,3,2023107364,2023101131,アクアマーズ,ライトアファイア,4.9,22.3,0.0223,0.0663,0.0127,1.446,64.9,False,,,True,False,False,False,True,False
2026-06-21,202605030602,3歳未勝利,False,2,3,2023110093,2023101131,ダノンマスタング,ライトアファイア,2.2,22.3,0.0223,0.0662,0.033,0.557,25.0,False,,,True,True,False,False,True,False
2026-06-21,202605030602,3歳未勝利,False,8,5,2023107364,2023106627,アクアマーズ,ファインブライト,4.9,38.8,0.0199,0.0521,0.0073,2.259,113.8,False,,,False,False,False,True,True,False
2026-06-21,202605030602,3歳未勝利,False,2,5,2023110093,2023106627,ダノンマスタング,ファインブライト,2.2,38.8,0.0198,0.0521,0.0188,0.869,43.8,False,,,False,True,False,False,True,False
2026-06-21,202605030602,3歳未勝利,False,8,13,2023107364,2023110017,アクアマーズ,ラッキーモア,4.9,11.7,0.017,0.0373,0.0246,0.568,33.5,False,,,True,True,False,False,True,False
2026-06-21,202605030602,3歳未勝利,False,2,13,2023110093,2023110017,ダノンマスタング,ラッキーモア,2.2,11.7,0.0169,0.0372,0.0637,0.219,13.0,False,,,True,True,False,False,True,False
2026-06-21,202605030602,3歳未勝利,False,8,16,2023107364,2023101135,アクアマーズ,ファイアリービート,4.9,8.0,0.0152,0.0295,0.0366,0.343,22.6,False,,,True,True,False,False,True,False
2026-06-21,202605030602,3歳未勝利,False,2,16,2023110093,2023101135,ダノンマスタング,ファイアリービート,2.2,8.0,0.0152,0.0295,0.0945,0.133,8.7,False,,,True,True,False,False,True,False
2026-06-21,202605030602,3歳未勝利,False,8,7,2023107364,2023107200,アクアマーズ,ブルージンジャー,4.9,72.4,0.0148,0.0279,0.0039,3.159,213.2,False,,,False,False,False,True,True,False
2026-06-21,202605030602,3歳未勝利,False,2,7,2023110093,2023107200,ダノンマスタング,ブルージンジャー,2.2,72.4,0.0148,0.0279,0.0101,1.215,82.1,False,,,False,False,False,False,True,False
2026-06-21,202605030603,3歳未勝利,False,11,5,2023106452,2023101841,コスモラムバック,ユイノサダハル,55.1,13.1,0.0247,0.0822,0.0018,11.26,455.6,True,,,False,False,False,True,True,False
2026-06-21,202605030603,3歳未勝利,False,11,4,2023106452,2023102967,コスモラムバック,クリムゾンリーフ,55.1,2.2,0.0215,0.0617,0.0134,1.328,61.7,True,,,False,False,False,False,True,False
2026-06-21,202605030603,3歳未勝利,False,5,4,2023101841,2023102967,ユイノサダハル,クリムゾンリーフ,13.1,2.2,0.0207,0.057,0.0573,0.298,14.4,True,,,True,True,False,False,True,False
2026-06-21,202605030603,3歳未勝利,False,11,9,2023106452,2023103799,コスモラムバック,フォンドルレール,55.1,4.9,0.0163,0.0344,0.0051,2.618,160.5,True,,,False,False,False,True,True,False
2026-06-21,202605030603,3歳未勝利,False,5,9,2023101841,2023103799,ユイノサダハル,フォンドルレール,13.1,4.9,0.0157,0.0317,0.0221,0.586,37.3,True,,,True,True,False,False,True,False
2026-06-21,202605030603,3歳未勝利,False,11,6,2023106452,2023105319,コスモラムバック,ネイティヴプライド,55.1,15.7,0.0145,0.0267,0.0015,7.958,549.0,True,,,False,False,False,True,True,False
2026-06-21,202605030603,3歳未勝利,False,5,6,2023101841,2023105319,ユイノサダハル,ネイティヴプライド,13.1,15.7,0.014,0.0246,0.0065,1.78,127.5,True,,,True,False,False,False,True,False
2026-06-21,202605030603,3歳未勝利,False,11,2,2023106452,2023106368,コスモラムバック,ウォーレーションズ,55.1,12.5,0.0139,0.0244,0.0019,6.04,434.1,True,,,False,False,False,True,True,False
2026-06-21,202605030603,3歳未勝利,False,5,2,2023101841,2023106368,ユイノサダハル,ウォーレーションズ,13.1,12.5,0.0134,0.0225,0.0082,1.351,100.8,True,,,True,False,False,False,True,False
2026-06-21,202605030603,3歳未勝利,False,11,8,2023106452,2023106436,コスモラムバック,マイネルシュラハト,55.1,27.0,0.0137,0.0238,0.0009,13.123,954.8,True,,,False,False,False,True,True,False
2026-06-21,202605030603,3歳未勝利,False,5,8,2023101841,2023106436,ユイノサダハル,マイネルシュラハト,13.1,27.0,0.0132,0.0219,0.0037,2.935,221.6,True,,,True,False,False,True,True,False
