date,race_id,race_name,is_g1,horse_num_i,horse_num_j,horse_id_i,horse_id_j,horse_name_i,horse_name_j,odds_i,odds_j,p_model,p_model_raw,p_market,ev,est_quinella_odds,race_axis_reject,p_axis1_safe,p_axis2_safe,passed_longshot,passed_est_odds,passed_p_model,passed_ev,passed_gatekeeper,would_buy
2026-08-23,202604030206,古町S,False,13,5,2022105738,2021100292,ロフティストーリー,パフ,7.9,12.4,0.0801,0.0801,0.0141,4.684,58.5,True,0.3329275715155204,0.2723440134907251,True,True,True,True,False,False
2026-08-23,202604030206,古町S,False,13,14,2022105738,2021107192,ロフティストーリー,アラレタバシル,7.9,4.3,0.0631,0.0631,0.0436,1.193,18.9,True,0.3329275715155204,0.2723440134907251,True,True,True,True,False,False
2026-08-23,202604030206,古町S,False,5,14,2021100292,2021107192,パフ,アラレタバシル,12.4,4.3,0.0228,0.0228,0.0273,0.689,30.2,True,0.3329275715155204,0.2723440134907251,True,True,True,False,False,False
2026-08-23,202604030206,古町S,False,13,2,2022105738,2021110012,ロフティストーリー,アークドール,7.9,18.8,0.0554,0.0554,0.0092,4.964,89.7,True,0.3329275715155204,0.2723440134907251,True,True,True,True,False,False
2026-08-23,202604030206,古町S,False,5,2,2021100292,2021110012,パフ,アークドール,12.4,18.8,0.02,0.02,0.0057,2.871,143.6,True,0.3329275715155204,0.2723440134907251,True,True,True,True,False,False
2026-08-23,202604030206,古町S,False,13,3,2022105738,2021100300,ロフティストーリー,エンセリオ,7.9,66.3,0.0548,0.0548,0.0026,17.576,321.0,True,0.3329275715155204,0.2723440134907251,False,False,True,True,False,False
2026-08-23,202604030206,古町S,False,5,3,2021100292,2021100300,パフ,エンセリオ,12.4,66.3,0.0198,0.0198,0.0016,10.167,514.4,True,0.3329275715155204,0.2723440134907251,False,False,True,True,False,False
2026-08-23,202604030206,古町S,False,13,7,2022105738,2022102965,ロフティストーリー,ブレトワルダ,7.9,5.8,0.0536,0.0536,0.0314,1.409,26.3,True,0.3329275715155204,0.2723440134907251,True,True,True,True,False,False
2026-08-23,202604030206,古町S,False,5,7,2021100292,2022102965,パフ,ブレトワルダ,12.4,5.8,0.0194,0.0194,0.0196,0.814,42.0,True,0.3329275715155204,0.2723440134907251,True,True,True,False,False,False
2026-08-23,202604030206,古町S,False,13,8,2022105738,2019104632,ロフティストーリー,プルートマスター,7.9,7.8,0.0373,0.0373,0.0229,1.344,36.0,True,0.3329275715155204,0.2723440134907251,True,True,True,True,False,False
2026-08-23,202604030206,古町S,False,5,8,2021100292,2019104632,パフ,プルートマスター,12.4,7.8,0.0134,0.0134,0.0143,0.776,57.7,True,0.3329275715155204,0.2723440134907251,True,True,True,False,False,False
2026-08-23,202604030212,3歳未勝利,False,8,7,2023105308,2023102967,トルネードアイル,クリムゾンリーフ,8.1,1.4,0.2457,0.2457,0.1877,1.08,4.4,False,0.37042406669083006,0.905940594059406,True,True,True,True,True,True
2026-08-23,202604030212,3歳未勝利,False,8,5,2023105308,2023102662,トルネードアイル,カズシ,8.1,22.2,0.1222,0.1222,0.0075,13.519,110.6,False,0.37042406669083006,0.905940594059406,True,True,True,True,True,True
2026-08-23,202604030212,3歳未勝利,False,7,5,2023102967,2023102662,クリムゾンリーフ,カズシ,1.4,22.2,0.0409,0.0409,0.0671,0.503,12.3,False,0.37042406669083006,0.905940594059406,True,True,True,False,True,False
2026-08-23,202604030212,3歳未勝利,False,8,1,2023105308,2023107109,トルネードアイル,チャームドウイング,8.1,14.3,0.1125,0.1125,0.0117,7.939,70.6,False,0.37042406669083006,0.905940594059406,True,True,True,True,True,True
2026-08-23,202604030212,3歳未勝利,False,7,1,2023102967,2023107109,クリムゾンリーフ,チャームドウイング,1.4,14.3,0.0376,0.0376,0.1048,0.296,7.9,False,0.37042406669083006,0.905940594059406,True,True,True,False,True,False
2026-08-23,202604030212,3歳未勝利,False,8,10,2023105308,2023106904,トルネードアイル,パンパネイラ,8.1,24.8,0.0642,0.0642,0.0067,7.947,123.8,False,0.37042406669083006,0.905940594059406,True,True,True,True,True,True
2026-08-23,202604030212,3歳未勝利,False,7,10,2023102967,2023106904,クリムゾンリーフ,パンパネイラ,1.4,24.8,0.0214,0.0214,0.06,0.294,13.8,False,0.37042406669083006,0.905940594059406,True,True,True,False,True,False
2026-08-23,202604030212,3歳未勝利,False,8,3,2023105308,2023103799,トルネードアイル,フォンドルレール,8.1,7.1,0.0631,0.0631,0.0243,2.146,34.0,False,0.37042406669083006,0.905940594059406,True,True,True,True,True,True
2026-08-23,202604030212,3歳未勝利,False,7,3,2023102967,2023103799,クリムゾンリーフ,フォンドルレール,1.4,7.1,0.021,0.021,0.2152,0.081,3.8,False,0.37042406669083006,0.905940594059406,True,True,True,False,True,False
2026-08-23,202604030212,3歳未勝利,False,8,6,2023105308,2023103705,トルネードアイル,ドロワ,8.1,77.7,0.0352,0.0352,0.0021,13.805,392.1,False,0.37042406669083006,0.905940594059406,False,False,True,True,True,False
2026-08-23,202604030212,3歳未勝利,False,7,6,2023102967,2023103705,クリムゾンリーフ,ドロワ,1.4,77.7,0.0117,0.0117,0.019,0.508,43.4,False,0.37042406669083006,0.905940594059406,False,True,True,False,True,False
2026-08-23,202607030204,3歳未勝利,False,12,2,2023103754,2023105294,インドミタビリティ,グリーンゴー,5.0,3.1,0.185,0.185,0.1037,1.471,8.0,False,0.4723314975085235,0.6426068675543096,True,True,True,True,True,True
2026-08-23,202607030204,3歳未勝利,False,12,10,2023103754,2023101572,インドミタビリティ,グランワールド,5.0,10.9,0.1209,0.1209,0.0264,3.778,31.3,False,0.4723314975085235,0.6426068675543096,True,True,True,True,True,True
2026-08-23,202607030204,3歳未勝利,False,2,10,2023105294,2023101572,グリーンゴー,グランワールド,3.1,10.9,0.0929,0.0929,0.0455,1.684,18.1,False,0.4723314975085235,0.6426068675543096,True,True,True,True,True,True
