date,race_id,race_name,is_g1,horse_num_i,horse_num_j,horse_id_i,horse_id_j,horse_name_i,horse_name_j,odds_i,odds_j,p_model,p_model_raw,p_market,ev,est_quinella_odds,race_axis_reject,p_axis1_safe,p_axis2_safe,passed_longshot,passed_est_odds,passed_p_model,passed_ev,passed_gatekeeper,would_buy
2026-09-06,202606040203,3歳未勝利,False,2,4,2023105363,2023105308,マイネルトレマーズ,トルネードアイル,17.7,2.1,0.1345,0.1345,0.0452,2.456,18.3,True,0.23620627479264333,0.7372013651877133,True,True,True,True,False,False
2026-09-06,202606040203,3歳未勝利,False,2,15,2023105363,2023102680,マイネルトレマーズ,イサチルクイーン,17.7,5.2,0.0743,0.0743,0.0153,4.006,53.9,True,0.23620627479264333,0.7372013651877133,True,True,True,True,False,False
2026-09-06,202606040203,3歳未勝利,False,4,15,2023105308,2023102680,トルネードアイル,イサチルクイーン,2.1,5.2,0.0671,0.0671,0.1615,0.342,5.1,True,0.23620627479264333,0.7372013651877133,True,True,True,False,True,False
2026-09-06,202606040203,3歳未勝利,False,2,11,2023105363,2023106795,マイネルトレマーズ,ルシアージュ,17.7,7.4,0.0448,0.0448,0.0105,3.532,78.8,True,0.23620627479264333,0.7372013651877133,True,True,True,True,False,False
2026-09-06,202606040203,3歳未勝利,False,4,11,2023105308,2023106795,トルネードアイル,ルシアージュ,2.1,7.4,0.0404,0.0404,0.1111,0.3,7.4,True,0.23620627479264333,0.7372013651877133,True,True,True,False,True,False
2026-09-06,202606040203,3歳未勝利,False,2,9,2023105363,2023101841,マイネルトレマーズ,ユイノサダハル,17.7,11.0,0.044,0.044,0.0069,5.257,119.5,True,0.23620627479264333,0.7372013651877133,True,True,True,True,False,False
2026-09-06,202606040203,3歳未勝利,False,4,9,2023105308,2023101841,トルネードアイル,ユイノサダハル,2.1,11.0,0.0397,0.0397,0.0736,0.445,11.2,True,0.23620627479264333,0.7372013651877133,True,True,True,False,True,False
2026-09-06,202606040203,3歳未勝利,False,2,8,2023105363,2023100653,マイネルトレマーズ,ペルシアーノ,17.7,63.4,0.0312,0.0312,0.0012,22.179,710.8,True,0.23620627479264333,0.7372013651877133,False,False,True,True,False,False
2026-09-06,202606040203,3歳未勝利,False,4,8,2023105308,2023100653,トルネードアイル,ペルシアーノ,2.1,63.4,0.0281,0.0281,0.0125,1.864,66.2,True,0.23620627479264333,0.7372013651877133,False,True,True,True,True,False
2026-09-06,202606040203,3歳未勝利,False,2,14,2023105363,2023103555,マイネルトレマーズ,オートカリテ,17.7,12.1,0.0219,0.0219,0.0063,2.895,132.0,True,0.23620627479264333,0.7372013651877133,True,True,True,True,False,False
2026-09-06,202606040203,3歳未勝利,False,4,14,2023105308,2023103555,トルネードアイル,オートカリテ,2.1,12.1,0.0198,0.0198,0.0667,0.245,12.4,True,0.23620627479264333,0.7372013651877133,True,True,True,False,True,False
2026-09-06,202606040206,2歳新馬,False,4,12,2024106320,2024104851,ハーモニープルーフ,ファブリック,4.0,14.6,0.0874,0.0874,0.0249,2.891,33.1,True,0.563710499490316,0.22416472416472416,True,True,True,True,False,False
2026-09-06,202606040206,2歳新馬,False,4,7,2024106320,2024105462,ハーモニープルーフ,ヒゲキリ,4.0,7.6,0.0824,0.0824,0.0491,1.383,16.8,True,0.563710499490316,0.22416472416472416,True,True,True,True,True,False
2026-09-06,202606040206,2歳新馬,False,12,7,2024104851,2024105462,ファブリック,ヒゲキリ,14.6,7.6,0.0342,0.0342,0.0124,2.282,66.7,True,0.563710499490316,0.22416472416472416,True,True,True,True,False,False
