date,race_id,race_name,is_g1,horse_num_i,horse_num_j,horse_id_i,horse_id_j,horse_name_i,horse_name_j,odds_i,odds_j,p_model,p_model_raw,p_market,ev,est_quinella_odds,race_axis_reject,p_axis1_safe,p_axis2_safe,passed_longshot,passed_est_odds,passed_p_model,passed_ev,passed_gatekeeper,would_buy
2026-09-26,202606040803,2歳新馬,False,5,16,2024106171,2024104270,プラチナリーフ,ココル,4.2,25.5,0.07,0.07,0.0134,4.297,61.4,True,0.4723314975085235,0.1279418057338468,True,True,True,True,False,False
2026-09-26,202606040803,2歳新馬,False,5,15,2024106171,2024100819,プラチナリーフ,ジェイエルバージ,4.2,10.8,0.0664,0.0664,0.0324,1.691,25.5,True,0.4723314975085235,0.1279418057338468,True,True,True,True,True,False
2026-09-26,202606040803,2歳新馬,False,16,15,2024104270,2024100819,ココル,ジェイエルバージ,25.5,10.8,0.0415,0.0415,0.0049,7.039,169.4,True,0.4723314975085235,0.1279418057338468,True,False,True,True,False,False
2026-09-26,202606040803,2歳新馬,False,5,3,2024106171,2024106146,プラチナリーフ,モルスリール,4.2,3.9,0.0545,0.0545,0.0966,0.466,8.5,True,0.4723314975085235,0.1279418057338468,True,True,True,False,True,False
2026-09-26,202606040803,2歳新馬,False,16,3,2024104270,2024106146,ココル,モルスリール,25.5,3.9,0.0341,0.0341,0.0146,1.924,56.4,True,0.4723314975085235,0.1279418057338468,True,True,True,True,False,False
2026-09-26,202606040803,2歳新馬,False,5,8,2024106171,2024102355,プラチナリーフ,ブルーサンタ,4.2,11.6,0.0189,0.0189,0.0301,0.518,27.4,True,0.4723314975085235,0.1279418057338468,True,True,True,False,True,False
2026-09-26,202606040803,2歳新馬,False,16,8,2024104270,2024102355,ココル,ブルーサンタ,25.5,11.6,0.0118,0.0118,0.0045,2.153,182.5,True,0.4723314975085235,0.1279418057338468,True,False,True,True,False,False
2026-09-26,202606040803,2歳新馬,False,5,11,2024106171,2024105251,プラチナリーフ,オレガイチバンイイ,4.2,32.1,0.0186,0.0186,0.0106,1.441,77.5,True,0.4723314975085235,0.1279418057338468,False,True,True,True,True,False
2026-09-26,202606040803,2歳新馬,False,16,11,2024104270,2024105251,ココル,オレガイチバンイイ,25.5,32.1,0.0116,0.0116,0.0016,5.998,516.8,True,0.4723314975085235,0.1279418057338468,False,False,True,True,False,False
2026-09-26,202606040803,2歳新馬,False,5,12,2024106171,2024106532,プラチナリーフ,ゼットターム,4.2,24.5,0.0179,0.0179,0.014,1.056,59.0,True,0.4723314975085235,0.1279418057338468,True,True,True,True,True,False
2026-09-26,202606040803,2歳新馬,False,16,12,2024104270,2024106532,ココル,ゼットターム,25.5,24.5,0.0112,0.0112,0.0021,4.397,392.9,True,0.4723314975085235,0.1279418057338468,True,False,True,True,False,False
2026-09-26,202606040806,3歳以上1勝クラス,False,4,7,2023102581,2022101465,サラサチャチャチャ,リュミナーズ,3.5,7.1,0.1566,0.1566,0.061,2.119,13.5,False,0.674863387978142,0.4105960264900662,True,True,True,True,True,True
2026-09-26,202606040806,3歳以上1勝クラス,False,4,1,2023102581,2023107408,サラサチャチャチャ,ミアルーチェ,3.5,4.8,0.1468,0.1468,0.0929,1.304,8.9,False,0.674863387978142,0.4105960264900662,True,True,True,True,True,True
2026-09-26,202606040806,3歳以上1勝クラス,False,7,1,2022101465,2023107408,リュミナーズ,ミアルーチェ,7.1,4.8,0.0873,0.0873,0.0427,1.686,19.3,False,0.674863387978142,0.4105960264900662,True,True,True,True,True,True
2026-09-26,202606040806,3歳以上1勝クラス,False,4,6,2023102581,2021104754,サラサチャチャチャ,ベルフィーヌ,3.5,20.5,0.0998,0.0998,0.0204,4.039,40.5,False,0.674863387978142,0.4105960264900662,True,True,True,True,True,True
2026-09-26,202606040806,3歳以上1勝クラス,False,7,6,2022101465,2021104754,リュミナーズ,ベルフィーヌ,7.1,20.5,0.0592,0.0592,0.0093,5.237,88.5,False,0.674863387978142,0.4105960264900662,True,True,True,True,True,True
2026-09-26,202606040806,3歳以上1勝クラス,False,4,5,2023102581,2022105131,サラサチャチャチャ,キューティリップ,3.5,7.0,0.0823,0.0823,0.0619,1.096,13.3,False,0.674863387978142,0.4105960264900662,True,True,True,True,True,True
2026-09-26,202606040806,3歳以上1勝クラス,False,7,5,2022101465,2022105131,リュミナーズ,キューティリップ,7.1,7.0,0.0488,0.0488,0.0284,1.416,29.0,False,0.674863387978142,0.4105960264900662,True,True,True,True,True,True
2026-09-26,202606040806,3歳以上1勝クラス,False,4,2,2023102581,2023106587,サラサチャチャチャ,ストーリーオブラブ,3.5,2.8,0.0377,0.0377,0.1718,0.181,4.8,False,0.674863387978142,0.4105960264900662,True,True,True,False,True,False
2026-09-26,202606040806,3歳以上1勝クラス,False,7,2,2022101465,2023106587,リュミナーズ,ストーリーオブラブ,7.1,2.8,0.0223,0.0223,0.0795,0.232,10.4,False,0.674863387978142,0.4105960264900662,True,True,True,False,True,False
2026-09-26,202606040806,3歳以上1勝クラス,False,4,3,2023102581,2023103069,サラサチャチャチャ,ノーブルクラウド,3.5,12.6,0.0271,0.0271,0.0335,0.667,24.6,False,0.674863387978142,0.4105960264900662,True,True,True,False,True,False
2026-09-26,202606040806,3歳以上1勝クラス,False,7,3,2022101465,2023103069,リュミナーズ,ノーブルクラウド,7.1,12.6,0.016,0.016,0.0154,0.861,53.7,False,0.674863387978142,0.4105960264900662,True,True,True,False,True,False
2026-09-26,202609040801,2歳未勝利,False,8,2,2024106296,2024106077,テーオーダーウィン,リアルメッセージ,4.6,9.9,0.0648,0.0648,0.0312,1.716,26.5,False,0.5175186674325102,0.3088158581116328,True,True,True,True,False,False
2026-09-26,202609040801,2歳未勝利,False,8,4,2024106296,2024102267,テーオーダーウィン,サウンドエフォート,4.6,31.4,0.0502,0.0502,0.0096,4.328,86.3,False,0.5175186674325102,0.3088158581116328,False,True,True,True,True,False
2026-09-26,202609040801,2歳未勝利,False,2,4,2024106077,2024102267,リアルメッセージ,サウンドエフォート,9.9,31.4,0.033,0.033,0.0042,6.475,196.2,False,0.5175186674325102,0.3088158581116328,False,False,True,True,False,False
2026-09-26,202609040801,2歳未勝利,False,8,5,2024106296,2024104223,テーオーダーウィン,ウルスチャージ,4.6,6.8,0.0408,0.0408,0.0462,0.728,17.8,False,0.5175186674325102,0.3088158581116328,True,True,True,False,True,False
2026-09-26,202609040801,2歳未勝利,False,2,5,2024106077,2024104223,リアルメッセージ,ウルスチャージ,9.9,6.8,0.0268,0.0268,0.0204,1.086,40.5,False,0.5175186674325102,0.3088158581116328,True,True,True,True,False,False
2026-09-26,202609040801,2歳未勝利,False,8,1,2024106296,2024105526,テーオーダーウィン,ガヤーズランボー,4.6,38.6,0.04,0.04,0.0078,4.248,106.3,False,0.5175186674325102,0.3088158581116328,False,True,True,True,True,False
2026-09-26,202609040801,2歳未勝利,False,2,1,2024106077,2024105526,リアルメッセージ,ガヤーズランボー,9.9,38.6,0.0263,0.0263,0.0034,6.354,241.8,False,0.5175186674325102,0.3088158581116328,False,False,True,True,False,False
2026-09-26,202609040801,2歳未勝利,False,8,10,2024106296,2024100937,テーオーダーウィン,スカイメテオ,4.6,1.7,0.0365,0.0365,0.2428,0.124,3.4,False,0.5175186674325102,0.3088158581116328,True,True,True,False,True,False
2026-09-26,202609040801,2歳未勝利,False,2,10,2024106077,2024100937,リアルメッセージ,スカイメテオ,9.9,1.7,0.024,0.024,0.1084,0.183,7.6,False,0.5175186674325102,0.3088158581116328,True,True,True,False,False,False
2026-09-26,202609040801,2歳未勝利,False,8,3,2024106296,2024109106,テーオーダーウィン,ルーストカール,4.6,42.0,0.0298,0.0298,0.0071,3.451,115.7,False,0.5175186674325102,0.3088158581116328,False,True,True,True,True,False
2026-09-26,202609040801,2歳未勝利,False,2,3,2024106077,2024109106,リアルメッセージ,ルーストカール,9.9,42.0,0.0196,0.0196,0.0031,5.16,263.3,False,0.5175186674325102,0.3088158581116328,False,False,True,True,False,False
2026-09-26,202609040802,2歳未勝利,False,2,3,2024100725,2024102751,アイゼンフォルク,クリスティーナ,6.7,17.2,0.0949,0.0949,0.0116,6.769,71.3,True,0.4942475839852739,0.2606969563299515,True,True,True,True,False,False
2026-09-26,202609040802,2歳未勝利,False,2,1,2024100725,2024107128,アイゼンフォルク,アレストラウム,6.7,3.2,0.0889,0.0889,0.07,1.048,11.8,True,0.4942475839852739,0.2606969563299515,True,True,True,False,True,False
2026-09-26,202609040802,2歳未勝利,False,3,1,2024102751,2024107128,クリスティーナ,アレストラウム,17.2,3.2,0.065,0.065,0.0263,2.035,31.3,True,0.4942475839852739,0.2606969563299515,True,True,True,True,False,False
2026-09-26,202609040802,2歳未勝利,False,2,4,2024100725,2024101002,アイゼンフォルク,ホットハニーラグ,6.7,16.5,0.0764,0.0764,0.0121,5.222,68.4,True,0.4942475839852739,0.2606969563299515,True,True,True,True,True,False
2026-09-26,202609040802,2歳未勝利,False,3,4,2024102751,2024101002,クリスティーナ,ホットハニーラグ,17.2,16.5,0.0558,0.0558,0.0045,10.187,182.5,True,0.4942475839852739,0.2606969563299515,True,False,True,True,False,False
2026-09-26,202609040802,2歳未勝利,False,2,6,2024100725,2024108231,アイゼンフォルク,パルパル,6.7,1.6,0.0628,0.0628,0.1762,0.294,4.7,True,0.4942475839852739,0.2606969563299515,True,True,True,False,True,False
2026-09-26,202609040802,2歳未勝利,False,3,6,2024102751,2024108231,クリスティーナ,パルパル,17.2,1.6,0.0458,0.0458,0.0667,0.566,12.4,True,0.4942475839852739,0.2606969563299515,True,True,True,False,False,False
2026-09-26,202609040802,2歳未勝利,False,2,5,2024100725,2024103535,アイゼンフォルク,ヘスティア,6.7,17.3,0.0606,0.0606,0.0115,4.345,71.7,True,0.4942475839852739,0.2606969563299515,True,True,True,True,True,False
2026-09-26,202609040802,2歳未勝利,False,3,5,2024102751,2024103535,クリスティーナ,ヘスティア,17.2,17.3,0.0442,0.0442,0.0043,8.473,191.6,True,0.4942475839852739,0.2606969563299515,True,False,True,True,False,False
2026-09-26,202609040802,2歳未勝利,False,2,7,2024100725,2024101323,アイゼンフォルク,シャイニーヒーロー,6.7,64.7,0.0424,0.0424,0.003,11.574,272.7,True,0.4942475839852739,0.2606969563299515,False,False,True,True,True,False
2026-09-26,202609040802,2歳未勝利,False,3,7,2024102751,2024101323,クリスティーナ,シャイニーヒーロー,17.2,64.7,0.031,0.031,0.0011,22.568,728.8,True,0.4942475839852739,0.2606969563299515,False,False,True,True,False,False
2026-09-26,202609040806,3歳以上1勝クラス,False,16,8,2023105249,2023103636,シオンダンサー,ウルフ,13.2,4.6,0.1027,0.1027,0.0236,3.587,34.9,True,0.22416472416472416,0.4942475839852739,True,True,True,True,False,False
2026-09-26,202609040806,3歳以上1勝クラス,False,16,10,2023105249,2023106564,シオンダンサー,メイショウペイト,13.2,23.5,0.0776,0.0776,0.0043,15.0,193.2,True,0.22416472416472416,0.4942475839852739,True,False,True,True,False,False
2026-09-26,202609040806,3歳以上1勝クラス,False,8,10,2023103636,2023106564,ウルフ,メイショウペイト,4.6,23.5,0.0491,0.0491,0.0131,3.094,63.0,True,0.22416472416472416,0.4942475839852739,True,True,True,True,True,False
