date,race_id,race_name,is_g1,horse_num_i,horse_num_j,horse_id_i,horse_id_j,horse_name_i,horse_name_j,odds_i,odds_j,p_model,p_model_raw,p_market,ev,est_quinella_odds,race_axis_reject,p_axis1_safe,p_axis2_safe,passed_longshot,passed_est_odds,passed_p_model,passed_ev,passed_gatekeeper,would_buy
2026-08-22,202604030102,2歳未勝利,False,11,8,2024106591,2024107327,ベルグラース,セイルトゥグローリ,8.7,5.4,0.0832,0.0832,0.0302,2.271,27.3,False,0.30526315789473685,0.45402745402745404,True,True,True,True,False,False
2026-08-22,202604030102,2歳未勝利,False,11,4,2024106591,2024108323,ベルグラース,モノホンプレイヤー,8.7,12.6,0.0456,0.0456,0.0124,3.044,66.7,False,0.30526315789473685,0.45402745402745404,True,True,True,True,False,False
2026-08-22,202604030102,2歳未勝利,False,8,4,2024107327,2024108323,セイルトゥグローリ,モノホンプレイヤー,5.4,12.6,0.0356,0.0356,0.0206,1.427,40.1,False,0.30526315789473685,0.45402745402745404,True,True,True,True,True,True
2026-08-22,202604030102,2歳未勝利,False,11,5,2024106591,2024102821,ベルグラース,オーケーエース,8.7,3.8,0.0418,0.0418,0.0447,0.772,18.5,False,0.30526315789473685,0.45402745402745404,True,True,True,False,False,False
2026-08-22,202604030102,2歳未勝利,False,8,5,2024107327,2024102821,セイルトゥグローリ,オーケーエース,5.4,3.8,0.0326,0.0326,0.0742,0.363,11.1,False,0.30526315789473685,0.45402745402745404,True,True,True,False,True,False
2026-08-22,202604030102,2歳未勝利,False,11,12,2024106591,2024101358,ベルグラース,ポッドレーヴ,8.7,21.6,0.0334,0.0334,0.0071,3.87,116.0,False,0.30526315789473685,0.45402745402745404,True,True,True,True,False,False
2026-08-22,202604030102,2歳未勝利,False,8,12,2024107327,2024101358,セイルトゥグローリ,ポッドレーヴ,5.4,21.6,0.026,0.026,0.0118,1.813,69.6,False,0.30526315789473685,0.45402745402745404,True,True,True,True,True,True
2026-08-22,202604030102,2歳未勝利,False,11,10,2024106591,2024100431,ベルグラース,ユイノリュウギ,8.7,3.2,0.0285,0.0285,0.0545,0.431,15.1,False,0.30526315789473685,0.45402745402745404,True,True,True,False,False,False
2026-08-22,202604030102,2歳未勝利,False,8,10,2024107327,2024100431,セイルトゥグローリ,ユイノリュウギ,5.4,3.2,0.0222,0.0222,0.0905,0.203,9.1,False,0.30526315789473685,0.45402745402745404,True,True,True,False,True,False
2026-08-22,202604030102,2歳未勝利,False,11,1,2024106591,2024101058,ベルグラース,ランドジャイアンツ,8.7,12.5,0.0284,0.0284,0.0125,1.883,66.2,False,0.30526315789473685,0.45402745402745404,True,True,True,True,False,False
